title,calorie,cook_time,servings,ratings,fat_g,protein_g,carb_g,fat_ratio,protein_ratio,carb_ratio,link
Phyllo Turnovers With Shrimp And Ricotta Filling,213.0,65,15.0,4.31,11.8,8.8,17.6,0.5,0.17,0.32999999999999996,https://www.allrecipes.com/recipe/143013/phyllo-turnovers-with-shrimp-and-ricotta-filling/
Black Bean Salad,159.0,20,12.0,4.73,6.3,5.0,24.2,0.36,0.13,0.51,https://www.allrecipes.com/recipe/14304/black-bean-salad/
Chinese Napa Cabbage Salad,405.0,25,6.0,4.63,30.3,9.2,28.3,0.67,0.09,0.23999999999999996,https://www.allrecipes.com/recipe/14321/chinese-napa-cabbage-salad/
Thai Style Fragrant Rice,438.0,50,4.0,4.07,18.2,7.4,62.7,0.37,0.07,0.56,https://www.allrecipes.com/recipe/143212/thai-style-fragrant-rice/
Lemongrass Coconut Rice,187.0,35,6.0,3.58,14.2,2.8,14.3,0.68,0.06,0.25999999999999995,https://www.allrecipes.com/recipe/143220/lemongrass-coconut-rice/
Quick And Easy Grilled Potatoes,203.0,27,4.0,4.65,6.9,3.7,32.2,0.31,0.07,0.6199999999999999,https://www.allrecipes.com/recipe/143230/quick-and-easy-grilled-potatoes/
Baked Salmon With Tropical Rice,606.0,37,4.0,4.39,15.1,26.9,87.9,0.22,0.18,0.6000000000000001,https://www.allrecipes.com/recipe/143313/baked-salmon-with-tropical-rice/
Heathers Cilantro Black Bean And Corn Salsa,30.0,25,72.0,4.68,0.9,1.1,4.9,0.27,0.15,0.58,https://www.allrecipes.com/recipe/143315/heathers-cilantro-black-bean-and-corn-salsa/
Grilled Salmon Fillets With A Lemon Tarragon And Garlic Sauce,512.0,30,4.0,4.51,46.2,19.9,4.3,0.81,0.16,0.029999999999999943,https://www.allrecipes.com/recipe/143407/grilled-salmon-fillets-with-a-lemon-tarragon-and-garlic-sauce/
Italian Pasta Salad I,291.0,30,12.0,4.54,14.6,8.5,32.6,0.45,0.12,0.43000000000000005,https://www.allrecipes.com/recipe/14349/italian-pasta-salad-i/
Grilled Shrimp And Apple Skewers,307.0,60,4.0,4.64,11.5,23.2,29.1,0.34,0.3,0.35999999999999993,https://www.allrecipes.com/recipe/143491/grilled-shrimp-and-apple-skewers/
Restaurant Style Potato Salad,298.0,30,8.0,4.65,22.0,2.6,23.9,0.66,0.03,0.30999999999999994,https://www.allrecipes.com/recipe/14350/restaurant-style-potato-salad/
The Best Seafood Stuffed Mushrooms,278.0,45,6.0,4.39,15.6,17.4,17.5,0.51,0.25,0.24,https://www.allrecipes.com/recipe/143649/the-best-seafood-stuffed-mushrooms/
Spinach And Mushroom Salad,126.0,45,4.0,4.46,6.8,10.6,7.5,0.49,0.34,0.16999999999999998,https://www.allrecipes.com/recipe/14400/spinach-and-mushroom-salad/
Jumbo Breakfast Cookies,325.0,22,24.0,4.25,14.4,6.3,45.1,0.4,0.08,0.52,https://www.allrecipes.com/recipe/144059/jumbo-breakfast-cookies/
German Potato Salad,328.0,55,4.0,4.54,12.8,8.0,46.1,0.35,0.1,0.55,https://www.allrecipes.com/recipe/14411/german-potato-salad/
Octoberfest German Potato Salad,355.0,90,7.0,4.47,20.5,4.3,39.5,0.52,0.05,0.43,https://www.allrecipes.com/recipe/14412/octoberfest-german-potato-salad/
Tabbouleh Iii,244.0,285,8.0,4.43,18.5,3.3,19.0,0.68,0.05,0.26999999999999996,https://www.allrecipes.com/recipe/14438/tabbouleh-iii/
Spinach And Tortellini Salad,377.0,30,4.0,4.65,23.2,13.1,33.1,0.55,0.14,0.30999999999999994,https://www.allrecipes.com/recipe/14440/spinach-and-tortellini-salad/
Ramen Coleslaw,253.0,25,4.0,4.58,12.5,7.1,30.5,0.44,0.11,0.45000000000000007,https://www.allrecipes.com/recipe/14441/ramen-coleslaw/
Cornbread Salad I,623.0,160,12.0,4.58,41.9,16.0,48.4,0.61,0.1,0.29000000000000004,https://www.allrecipes.com/recipe/14487/cornbread-salad-i/
Easy Garden Green Beans,146.0,20,4.0,4.43,11.4,3.7,9.3,0.7,0.1,0.20000000000000004,https://www.allrecipes.com/recipe/145188/easy-garden-green-beans/
Bacon Wrapped Shrimp,715.0,24,2.0,4.4,64.3,30.5,1.6,0.81,0.17,0.019999999999999934,https://www.allrecipes.com/recipe/14541/bacon-wrapped-shrimp/
Sirloin Steak With Garlic Butter,453.0,30,8.0,4.43,32.2,37.7,1.0,0.64,0.33,0.02999999999999997,https://www.allrecipes.com/recipe/14554/sirloin-steak-with-garlic-butter/
Grilled Onions,136.0,75,8.0,4.61,11.7,1.3,7.6,0.77,0.04,0.18999999999999997,https://www.allrecipes.com/recipe/14564/grilled-onions/
Spicy Sweet Glazed Salmon,330.0,140,6.0,4.71,18.8,25.1,14.5,0.51,0.3,0.19,https://www.allrecipes.com/recipe/145843/spicy-sweet-glazed-salmon/
Italian Style Meatloaf I,538.0,75,6.0,4.37,38.9,29.8,15.6,0.65,0.22,0.12999999999999998,https://www.allrecipes.com/recipe/14592/italian-style-meatloaf-i/
Salisbury Steak,440.0,40,6.0,4.41,32.3,23.0,14.1,0.66,0.21,0.12999999999999998,https://www.allrecipes.com/recipe/14595/salisbury-steak/
Lime Cilantro Rice,84.0,30,4.0,4.42,3.1,2.4,12.7,0.33,0.11,0.5599999999999999,https://www.allrecipes.com/recipe/146000/lime-cilantro-rice/
Italian Meatball Sandwich Casserole,1046.0,60,5.0,4.03,64.7,40.8,74.3,0.56,0.16,0.2799999999999999,https://www.allrecipes.com/recipe/14601/italian-meatball-sandwich-casserole/
The Best Thai Coconut Soup,368.0,65,8.0,4.61,32.9,13.2,8.9,0.8,0.14,0.05999999999999994,https://www.allrecipes.com/recipe/146035/the-best-thai-coconut-soup/
Chorizo And Lentil Stew,611.0,60,4.0,4.36,36.9,33.9,34.9,0.54,0.22,0.23999999999999996,https://www.allrecipes.com/recipe/146257/chorizo-and-lentil-stew/
Ground Beef Stroganoff,696.0,30,4.0,3.84,44.0,29.4,45.9,0.57,0.17,0.26,https://www.allrecipes.com/recipe/14626/ground-beef-stroganoff/
Savory Tater Tot Casserole,573.0,65,7.0,4.04,35.0,24.2,47.9,0.55,0.17,0.2799999999999999,https://www.allrecipes.com/recipe/14638/savory-tater-tot-casserole/
Meatloaf With Fried Onions And Ranch Seasoning,668.0,70,6.0,4.48,46.7,23.9,34.9,0.63,0.14,0.22999999999999998,https://www.allrecipes.com/recipe/14656/meatloaf-with-fried-onions-and-ranch-seasoning/
Sweet Cornbread Cake,461.0,55,12.0,4.79,21.0,7.9,61.1,0.41,0.07,0.52,https://www.allrecipes.com/recipe/146572/sweet-cornbread-cake/
Easiest Pot Roast Ever,526.0,310,6.0,4.4,25.3,31.7,42.4,0.43,0.24,0.33000000000000007,https://www.allrecipes.com/recipe/14670/easiest-pot-roast-ever/
Zesty Porcupine Meatballs,408.0,40,5.0,4.27,21.6,20.6,32.4,0.48,0.2,0.32,https://www.allrecipes.com/recipe/14676/zesty-porcupine-meatballs/
Slow Cooker London Broil,198.0,610,8.0,4.23,11.1,14.9,9.8,0.5,0.3,0.2,https://www.allrecipes.com/recipe/14684/slow-cooker-london-broil/
Slow Cooker Beef Stew I,576.0,740,6.0,4.44,30.3,44.1,29.8,0.47,0.31,0.22000000000000003,https://www.allrecipes.com/recipe/14685/slow-cooker-beef-stew-i/
Army Sos Creamed Ground Beef,201.0,30,6.0,4.13,10.8,16.3,8.5,0.48,0.32,0.2,https://www.allrecipes.com/recipe/14687/army-sos-creamed-ground-beef/
Cabbage Roll Casserole,352.0,100,12.0,4.24,20.6,17.1,25.5,0.53,0.19,0.27999999999999997,https://www.allrecipes.com/recipe/14690/cabbage-roll-casserole/
Caramel Apple Pork Chops,262.0,45,4.0,4.46,16.0,13.8,17.1,0.55,0.21,0.23999999999999996,https://www.allrecipes.com/recipe/14692/caramel-apple-pork-chops/
Awesome Honey Pecan Pork Chops,518.0,25,4.0,4.37,30.7,30.6,30.3,0.53,0.24,0.22999999999999998,https://www.allrecipes.com/recipe/14693/awesome-honey-pecan-pork-chops/
Best Egg Rolls,334.0,0,8.0,4.42,20.5,14.2,22.6,0.55,0.17,0.2799999999999999,https://www.allrecipes.com/recipe/14704/best-egg-rolls/
Sausage Potato Casserole,479.0,0,6.0,4.08,28.7,20.0,35.1,0.54,0.17,0.2899999999999999,https://www.allrecipes.com/recipe/14717/sausage-potato-casserole/
Skillet Chops With Mushroom Gravy,319.0,40,4.0,4.46,15.0,28.1,16.4,0.42,0.35,0.2300000000000001,https://www.allrecipes.com/recipe/14724/skillet-chops-with-mushroom-gravy/
Apple Pork Chops,232.0,55,4.0,3.73,11.4,14.8,18.2,0.44,0.26,0.30000000000000004,https://www.allrecipes.com/recipe/14732/apple-pork-chops/
Mushroom Pork Chops,210.0,40,4.0,4.42,8.5,23.6,9.6,0.36,0.45,0.19,https://www.allrecipes.com/recipe/14746/mushroom-pork-chops/
Cola Chops,190.0,75,8.0,4.02,3.9,20.9,17.6,0.18,0.44,0.38000000000000006,https://www.allrecipes.com/recipe/14751/cola-chops/
Gandule Rice,615.0,0,20.0,4.26,27.6,18.6,71.7,0.4,0.12,0.48,https://www.allrecipes.com/recipe/14782/gandule-rice/
Bacon Wrapped Grilled Elk Backstrap,443.0,25,4.0,4.86,21.5,56.6,2.0,0.44,0.51,0.050000000000000044,https://www.allrecipes.com/recipe/148060/bacon-wrapped-grilled-elk-backstrap/
Candied Kielbasa,473.0,65,8.0,4.45,31.1,14.3,34.8,0.59,0.12,0.29000000000000004,https://www.allrecipes.com/recipe/14809/candied-kielbasa/
Moms Smoked Salmon Fried Rice,458.0,35,6.0,4.19,10.0,12.9,76.8,0.2,0.11,0.6900000000000001,https://www.allrecipes.com/recipe/148097/moms-smoked-salmon-fried-rice/
Curried Quinoa,473.0,40,2.0,4.49,19.8,13.5,62.8,0.38,0.11,0.51,https://www.allrecipes.com/recipe/148142/curried-quinoa/
Best Ever Shrimp Dip,83.0,130,32.0,4.28,8.0,2.4,0.5,0.87,0.12,0.010000000000000009,https://www.allrecipes.com/recipe/14818/best-ever-shrimp-dip/
Hummus Iii,77.0,10,16.0,4.55,4.3,2.6,8.1,0.5,0.14,0.36,https://www.allrecipes.com/recipe/14830/hummus-iii/
Tex Mex Black Bean Dip,50.0,20,16.0,4.61,1.7,2.7,5.9,0.31,0.22,0.47,https://www.allrecipes.com/recipe/14848/tex-mex-black-bean-dip/
Beer Boiled Shrimp,1030.0,70,6.0,4.32,67.9,78.6,12.1,0.59,0.31,0.10000000000000003,https://www.allrecipes.com/recipe/148498/beer-boiled-shrimp/
Baked Potato Dip,101.0,5,32.0,4.54,8.9,3.9,1.8,0.79,0.15,0.05999999999999997,https://www.allrecipes.com/recipe/14857/baked-potato-dip/
Roasted Garlic,79.0,65,15.0,4.51,2.9,2.4,12.3,0.33,0.12,0.5499999999999999,https://www.allrecipes.com/recipe/14860/roasted-garlic/
Spicy Bean Salsa,155.0,490,12.0,4.74,6.4,5.0,20.4,0.37,0.13,0.5,https://www.allrecipes.com/recipe/14861/spicy-bean-salsa/
Reuben Dip,393.0,30,9.0,4.57,31.7,20.9,7.3,0.73,0.21,0.060000000000000026,https://www.allrecipes.com/recipe/14865/reuben-dip/
Amazing Crab Shells,130.0,160,36.0,4.29,4.9,5.4,15.8,0.34,0.17,0.4899999999999999,https://www.allrecipes.com/recipe/14875/amazing-crab-shells/
Grilled Tequila Lime Shrimp,235.0,76,4.0,4.4,14.6,18.8,3.8,0.56,0.32,0.11999999999999994,https://www.allrecipes.com/recipe/148818/grilled-tequila-lime-shrimp/
Sauteed Swiss Chard With Parmesan Cheese,165.0,25,4.0,4.63,13.4,2.3,4.9,0.73,0.06,0.21000000000000002,https://www.allrecipes.com/recipe/148889/sauteed-swiss-chard-with-parmesan-cheese/
Tantalizing Turkey And Blue Cheese Meatballs,247.0,60,6.0,4.41,14.4,19.8,10.3,0.52,0.32,0.15999999999999998,https://www.allrecipes.com/recipe/148910/tantalizing-turkey-and-blue-cheese-meatballs/
Raisin And Spice Brown Rice,161.0,55,7.0,4.56,4.5,2.7,28.2,0.25,0.07,0.6799999999999999,https://www.allrecipes.com/recipe/148986/raisin-and-spice-brown-rice/
Very Easy Mushroom Barley Soup,198.0,65,6.0,4.57,9.9,5.8,24.0,0.45,0.12,0.43000000000000005,https://www.allrecipes.com/recipe/149118/very-easy-mushroom-barley-soup/
Bacon Water Chestnut Rolls,85.0,70,24.0,4.71,6.1,1.3,6.5,0.65,0.06,0.29,https://www.allrecipes.com/recipe/14919/bacon-water-chestnut-rolls/
Brown Sugar Smokies,356.0,30,12.0,4.76,27.2,9.0,18.9,0.69,0.1,0.21000000000000005,https://www.allrecipes.com/recipe/14939/brown-sugar-smokies/
Blt Dip,181.0,25,16.0,4.54,17.8,4.1,1.5,0.89,0.09,0.01999999999999999,https://www.allrecipes.com/recipe/14944/blt-dip/
Garbanzo Bean Chocolate Cake Gluten Free,229.0,70,12.0,4.61,8.5,5.2,36.8,0.33,0.09,0.58,https://www.allrecipes.com/recipe/149550/garbanzo-bean-chocolate-cake-gluten-free/
Veggeroni,144.0,80,12.0,5.0,2.1,17.1,13.1,0.13,0.48,0.39,https://www.allrecipes.com/recipe/149592/veggeroni/
Bacon And Tomato Cups,216.0,42,15.0,4.64,15.1,5.3,15.0,0.63,0.1,0.27,https://www.allrecipes.com/recipe/14967/bacon-and-tomato-cups/
Cheese Lovers Tuna Casserole,508.0,30,6.0,4.18,30.5,33.7,23.8,0.54,0.27,0.18999999999999995,https://www.allrecipes.com/recipe/14979/cheese-lovers-tuna-casserole/
Its Chili By George,305.0,115,10.0,4.65,13.7,22.3,25.5,0.4,0.29,0.31,https://www.allrecipes.com/recipe/14985/its-chili-by-george/
Slow Cooker Beef Vegetable Soup,364.0,370,6.0,4.6,16.2,20.0,38.8,0.4,0.22,0.38,https://www.allrecipes.com/recipe/14986/slow-cooker-beef-vegetable-soup/
Oatmeal Raisin Cookies Vi,206.0,0,24.0,4.51,8.9,2.9,29.7,0.39,0.06,0.55,https://www.allrecipes.com/recipe/14998/oatmeal-raisin-cookies-vi/
Roasted Asparagus With Herbes De Provence,82.0,17,4.0,4.6,6.9,2.5,4.4,0.76,0.12,0.12,https://www.allrecipes.com/recipe/149984/roasted-asparagus-with-herbes-de-provence/
Banana Oatmeal Cookies I,216.0,15,24.0,4.07,10.6,3.0,28.9,0.44,0.06,0.5,https://www.allrecipes.com/recipe/15002/banana-oatmeal-cookies-i/
Spiced Sweet Roasted Red Pepper Hummus,64.0,75,8.0,4.66,2.2,2.5,9.6,0.31,0.16,0.5299999999999999,https://www.allrecipes.com/recipe/15006/spiced-sweet-roasted-red-pepper-hummus/
Dirty Rice,409.0,45,6.0,4.28,9.0,13.7,71.4,0.2,0.13,0.67,https://www.allrecipes.com/recipe/15013/dirty-rice/
Mini Ham And Cheese Rolls,145.0,35,24.0,4.68,9.0,5.7,10.2,0.56,0.16,0.2799999999999999,https://www.allrecipes.com/recipe/15018/mini-ham-and-cheese-rolls/
Creamy Potato Casserole,406.0,0,8.0,4.37,34.7,11.9,27.5,0.77,0.12,0.10999999999999999,https://www.allrecipes.com/recipe/15025/creamy-potato-casserole/
Overnight Raisin Oatmeal Pancakes,204.0,750,9.0,4.68,8.0,6.5,27.5,0.35,0.13,0.52,https://www.allrecipes.com/recipe/15027/overnight-raisin-oatmeal-pancakes/
Christmas Brunch Casserole,494.0,61,5.0,4.4,28.6,28.1,31.9,0.52,0.23,0.24999999999999997,https://www.allrecipes.com/recipe/15047/christmas-brunch-casserole/
Quick Brown Rice And Mushroom Pilaf,163.0,0,8.0,4.42,9.1,3.4,19.7,0.5,0.08,0.42,https://www.allrecipes.com/recipe/150484/quick-brown-rice-and-mushroom-pilaf/
Baked Omelet,314.0,55,4.0,4.58,21.2,24.8,5.9,0.61,0.32,0.07,https://www.allrecipes.com/recipe/15051/baked-omelet/
Barley Lentil And Mushroom Soup,265.0,90,8.0,4.38,8.9,14.0,33.0,0.3,0.21,0.49,https://www.allrecipes.com/recipe/150583/barley-lentil-and-mushroom-soup/
Eggplant Tomato Bake,55.0,0,4.0,4.13,0.3,3.3,9.3,0.05,0.24,0.71,https://www.allrecipes.com/recipe/15068/eggplant-tomato-bake/
Sweet Potato Turkey Meatloaf,336.0,95,4.0,4.12,2.7,33.8,43.0,0.07,0.4,0.5299999999999999,https://www.allrecipes.com/recipe/150749/sweet-potato-turkey-meatloaf/
Restaurant Style Potato Skins,519.0,37,6.0,4.65,32.8,17.1,40.9,0.57,0.13,0.30000000000000004,https://www.allrecipes.com/recipe/15077/restaurant-style-potato-skins/
Crispy Edamame,141.0,20,5.0,4.09,8.5,10.3,7.7,0.54,0.29,0.16999999999999998,https://www.allrecipes.com/recipe/150772/crispy-edamame/
Vegetarian Chili,582.0,70,6.0,4.62,4.9,67.5,74.2,0.08,0.46,0.46,https://www.allrecipes.com/recipe/15084/vegetarian-chili/
Beef And Barley Soup Iii,230.0,0,12.0,4.62,9.3,14.2,20.1,0.36,0.25,0.39,https://www.allrecipes.com/recipe/15094/beef-and-barley-soup-iii/
Boozy Rice With Nuts And Berries,444.0,195,12.0,4.33,24.0,6.5,53.8,0.49,0.06,0.45,https://www.allrecipes.com/recipe/151136/boozy-rice-with-nuts-and-berries/
Vegan Corn Bread,218.0,30,9.0,4.8,9.1,3.8,30.3,0.38,0.07,0.55,https://www.allrecipes.com/recipe/151174/vegan-corn-bread/
Corned Venison,135.0,304,20.0,4.91,2.3,21.5,5.8,0.15,0.64,0.20999999999999996,https://www.allrecipes.com/recipe/151224/corned-venison/
Creamy Shrimp And Corn Soup,231.0,0,8.0,4.51,9.9,15.7,21.6,0.39,0.27,0.33999999999999997,https://www.allrecipes.com/recipe/15131/creamy-shrimp-and-corn-soup/
Spanish Style Quinoa,126.0,60,8.0,4.47,4.9,3.7,17.5,0.35,0.12,0.53,https://www.allrecipes.com/recipe/151343/spanish-style-quinoa/
Green Bean Fries,306.0,0,8.0,4.41,13.8,8.3,37.9,0.41,0.11,0.4800000000000001,https://www.allrecipes.com/recipe/151451/green-bean-fries/
Mushroom And Leek Soup,182.0,50,6.0,4.52,8.4,6.7,19.6,0.42,0.15,0.43000000000000005,https://www.allrecipes.com/recipe/15146/mushroom-and-leek-soup/
Party Potatoes,506.0,55,8.0,4.62,19.2,11.5,74.7,0.34,0.09,0.57,https://www.allrecipes.com/recipe/15159/party-potatoes/
Cowboy Cookie Mix In A Jar,167.0,25,18.0,4.53,5.5,2.4,29.1,0.3,0.06,0.6399999999999999,https://www.allrecipes.com/recipe/15161/cowboy-cookie-mix-in-a-jar/
Lauras Lemon Roasted Potatoes,461.0,65,6.0,4.49,25.0,6.6,55.2,0.49,0.06,0.45,https://www.allrecipes.com/recipe/151802/lauras-lemon-roasted-potatoes/
Mouth Watering Stuffed Mushrooms,88.0,45,12.0,4.62,8.2,2.7,1.5,0.84,0.12,0.040000000000000036,https://www.allrecipes.com/recipe/15184/mouth-watering-stuffed-mushrooms/
Alicias Aloo Gobi,622.0,90,4.0,4.44,39.2,13.1,64.0,0.57,0.08,0.35000000000000003,https://www.allrecipes.com/recipe/151997/alicias-aloo-gobi/
Asparagus Side Dish,194.0,17,4.0,4.57,16.6,6.7,6.8,0.77,0.14,0.08999999999999997,https://www.allrecipes.com/recipe/152030/asparagus-side-dish/
Cocktail Meatballs,193.0,105,10.0,4.47,10.2,9.8,15.2,0.48,0.2,0.32,https://www.allrecipes.com/recipe/15206/cocktail-meatballs/
The Best Mashed Potatoes,381.0,20,12.0,4.47,21.8,11.6,36.3,0.51,0.12,0.37,https://www.allrecipes.com/recipe/15213/the-best-mashed-potatoes/
Easy Pumpkin Rice,475.0,20,8.0,3.79,12.3,5.0,88.0,0.23,0.04,0.73,https://www.allrecipes.com/recipe/152212/easy-pumpkin-rice/
Lasagna Alfredo Roll Ups,485.0,0,8.0,4.49,33.9,21.0,26.7,0.63,0.17,0.19999999999999998,https://www.allrecipes.com/recipe/15225/lasagna-alfredo-roll-ups/
Oatmeal Toffee Cookies,160.0,0,36.0,4.37,10.2,1.2,15.8,0.57,0.03,0.4,https://www.allrecipes.com/recipe/15226/oatmeal-toffee-cookies/
Peanut Butter Banana Oatmeal Raisin,223.0,45,18.0,4.05,7.8,6.7,35.0,0.31,0.12,0.57,https://www.allrecipes.com/recipe/15227/peanut-butter-banana-oatmeal-raisin/
Best Ever Texas Caviar,262.0,35,10.0,4.73,12.0,6.3,35.5,0.41,0.1,0.4900000000000001,https://www.allrecipes.com/recipe/152270/best-ever-texas-caviar/
Venison Steak With Peppers And Onions,248.0,0,4.0,4.54,9.8,27.6,11.0,0.36,0.45,0.19,https://www.allrecipes.com/recipe/152364/venison-steak-with-peppers-and-onions/
Kabocha Squash Pie Japanese Pumpkin Pie,137.0,75,8.0,3.67,3.3,4.2,23.1,0.22,0.12,0.66,https://www.allrecipes.com/recipe/152515/kabocha-squash-pie-japanese-pumpkin-pie/
Spelt Biscuits,250.0,22,6.0,4.65,12.7,6.3,29.9,0.46,0.1,0.44000000000000006,https://www.allrecipes.com/recipe/152578/spelt-biscuits/
Cookie In A Jar,217.0,20,12.0,4.65,5.1,3.0,41.2,0.21,0.06,0.73,https://www.allrecipes.com/recipe/15259/cookie-in-a-jar/
Cranberry Hootycreeks,126.0,25,18.0,4.76,4.2,1.7,21.2,0.3,0.05,0.6499999999999999,https://www.allrecipes.com/recipe/15262/cranberry-hootycreeks/
Cajun Dirty Rice,485.0,50,8.0,4.38,23.5,26.2,41.4,0.44,0.22,0.3400000000000001,https://www.allrecipes.com/recipe/15268/cajun-dirty-rice/
Breaded Brussels Sprouts,112.0,37,8.0,4.48,6.9,4.4,10.3,0.55,0.16,0.2899999999999999,https://www.allrecipes.com/recipe/15276/breaded-brussels-sprouts/
Ethiopian Cabbage Dish,428.0,65,5.0,4.58,22.2,6.9,54.1,0.47,0.06,0.47000000000000003,https://www.allrecipes.com/recipe/152937/ethiopian-cabbage-dish/
Chewy Crispy Coconut Cookies,101.0,0,30.0,4.63,4.4,1.2,14.5,0.39,0.05,0.5599999999999999,https://www.allrecipes.com/recipe/15311/chewy-crispy-coconut-cookies/
Butternut Squash Fries,102.0,35,4.0,4.14,0.2,2.3,26.5,0.02,0.09,0.89,https://www.allrecipes.com/recipe/153205/butternut-squash-fries/
Kristens Awesome Oatmeal Cookies,135.0,0,30.0,4.63,5.9,1.7,19.4,0.39,0.05,0.5599999999999999,https://www.allrecipes.com/recipe/15334/kristens-awesome-oatmeal-cookies/
Easy Coconut Rice And Black Eyed Peas,249.0,45,5.0,3.36,6.3,7.4,41.4,0.23,0.12,0.65,https://www.allrecipes.com/recipe/153469/easy-coconut-rice-and-black-eyed-peas/
Smoked Salmon Spread,219.0,5,9.0,4.54,19.0,10.7,1.5,0.78,0.2,0.019999999999999962,https://www.allrecipes.com/recipe/15361/smoked-salmon-spread/
Almond Crusted Halibut Crystal Symphony,613.0,45,6.0,4.77,45.6,40.9,8.1,0.67,0.27,0.05999999999999994,https://www.allrecipes.com/recipe/15409/almond-crusted-halibut-crystal-symphony/
Farfalle With Asparagus And Smoked Salmon,261.0,150,4.0,4.21,6.0,10.0,45.1,0.21,0.15,0.64,https://www.allrecipes.com/recipe/15428/farfalle-with-asparagus-and-smoked-salmon/
Easy Roasted Red Pepper Hummus,445.0,0,2.0,4.37,26.9,15.9,44.1,0.54,0.14,0.31999999999999995,https://www.allrecipes.com/recipe/15436/easy-roasted-red-pepper-hummus/
Swedish Meatballs I,662.0,85,4.0,4.06,47.8,31.2,26.3,0.65,0.19,0.15999999999999998,https://www.allrecipes.com/recipe/15449/swedish-meatballs-i/
Oatmeal Peanut Butter And Chocolate Chip Cookies,289.0,0,18.0,4.17,14.1,4.6,38.5,0.44,0.06,0.5,https://www.allrecipes.com/recipe/15466/oatmeal-peanut-butter-and-chocolate-chip-cookies/
Tex Mex Turkey Soup,684.0,50,6.0,4.75,30.5,45.7,59.2,0.4,0.27,0.32999999999999996,https://www.allrecipes.com/recipe/154784/tex-mex-turkey-soup/
White Chocolate Chip Oatmeal Cookies,223.0,0,36.0,4.65,11.4,2.9,27.9,0.46,0.05,0.49000000000000005,https://www.allrecipes.com/recipe/15482/white-chocolate-chip-oatmeal-cookies/
Roasted Asparagus And Garlic,72.0,0,6.0,3.89,4.6,1.9,5.1,0.57,0.11,0.32000000000000006,https://www.allrecipes.com/recipe/15501/roasted-asparagus-and-garlic/
Proper English Cottage Pie,512.0,0,6.0,4.49,30.9,24.1,34.8,0.54,0.19,0.26999999999999996,https://www.allrecipes.com/recipe/15509/proper-english-cottage-pie/
Lemony Quinoa,147.0,25,6.0,4.26,4.8,5.9,21.4,0.29,0.16,0.5499999999999999,https://www.allrecipes.com/recipe/155552/lemony-quinoa/
Black Beans And Rice,140.0,30,10.0,4.33,0.9,6.3,27.1,0.06,0.18,0.76,https://www.allrecipes.com/recipe/15559/black-beans-and-rice/
Southwestern Black Bean Stew,635.0,0,6.0,4.49,38.9,38.7,33.5,0.55,0.24,0.20999999999999996,https://www.allrecipes.com/recipe/15601/southwestern-black-bean-stew/
Bite Sized Salmon Tikka,229.0,30,2.0,4.54,12.5,24.5,3.8,0.49,0.43,0.08000000000000002,https://www.allrecipes.com/recipe/156039/bite-sized-salmon-tikka/
Olive Oil Roasted Eggplant With Lemon,120.0,40,4.0,4.22,10.3,1.2,7.2,0.77,0.04,0.18999999999999997,https://www.allrecipes.com/recipe/156162/olive-oil-roasted-eggplant-with-lemon/
My Special Shrimp Scampi Florentine,446.0,40,4.0,4.64,38.1,21.5,5.6,0.77,0.19,0.03999999999999998,https://www.allrecipes.com/recipe/156232/my-special-shrimp-scampi-florentine/
Spicy Spaghetti Squash,154.0,0,6.0,4.5,7.6,11.3,10.3,0.44,0.29,0.2700000000000001,https://www.allrecipes.com/recipe/15642/spicy-spaghetti-squash/
Rhubarb Crunch,366.0,55,12.0,4.43,16.0,3.2,54.0,0.39,0.03,0.58,https://www.allrecipes.com/recipe/15643/rhubarb-crunch/
Bird Seed Energy Bars,321.0,40,24.0,4.62,15.2,6.1,43.5,0.43,0.08,0.49000000000000005,https://www.allrecipes.com/recipe/156785/bird-seed-energy-bars/
Asian Beef With Snow Peas,203.0,15,4.0,4.31,10.0,16.0,9.7,0.44,0.32,0.24000000000000005,https://www.allrecipes.com/recipe/15679/asian-beef-with-snow-peas/
Easy Lemon Pepper Blackened Salmon,327.0,21,4.0,4.61,25.0,23.2,1.7,0.69,0.28,0.030000000000000027,https://www.allrecipes.com/recipe/156814/easy-lemon-pepper-blackened-salmon/
Dutch Apple Pie With Oatmeal Streusel,441.0,0,8.0,4.59,20.4,3.5,63.4,0.42,0.03,0.55,https://www.allrecipes.com/recipe/15683/dutch-apple-pie-with-oatmeal-streusel/
Banana Oatmeal Bread,264.0,80,12.0,4.7,10.1,3.7,41.5,0.34,0.06,0.5999999999999999,https://www.allrecipes.com/recipe/15746/banana-oatmeal-bread/
Red Cabbage And Apples,250.0,0,3.0,4.48,9.7,3.3,42.4,0.35,0.05,0.6,https://www.allrecipes.com/recipe/15762/red-cabbage-and-apples/
Slow Cooker Ham And Beans,318.0,1210,8.0,4.18,5.9,17.8,49.8,0.17,0.22,0.61,https://www.allrecipes.com/recipe/157825/slow-cooker-ham-and-beans/
Hashbrown Casserole,272.0,60,10.0,4.59,22.2,7.3,24.0,0.73,0.11,0.16000000000000003,https://www.allrecipes.com/recipe/15784/hashbrown-casserole/
Spaghetti Sauce With Ground Beef,185.0,85,8.0,4.66,9.3,12.4,15.0,0.45,0.27,0.28,https://www.allrecipes.com/recipe/158140/spaghetti-sauce-with-ground-beef/
