title,calorie,cook_time,servings,ratings,fat_g,protein_g,carb_g,fat_ratio,protein_ratio,carb_ratio,link
Basic Microwave Risotto,368.0,0,4.0,4.56,10.6,7.1,51.8,0.26,0.08,0.66,https://www.allrecipes.com/recipe/14134/basic-microwave-risotto/
Baked Macaroni And Cheese,968.0,0,3.0,4.1,45.4,45.6,92.6,0.42,0.19,0.39000000000000007,https://www.allrecipes.com/recipe/14140/baked-macaroni-and-cheese/
Slow Cooker Pulled Pork,335.0,430,8.0,4.61,5.0,21.2,49.4,0.13,0.25,0.62,https://www.allrecipes.com/recipe/141678/slow-cooker-pulled-pork/
Korean Bbq Short Ribs Gal Bi,710.0,445,5.0,4.69,55.5,28.8,23.2,0.7,0.16,0.14000000000000004,https://www.allrecipes.com/recipe/141716/korean-bbq-short-ribs-gal-bi/
Amazing Spicy Grilled Shrimp,320.0,164,6.0,4.73,22.8,25.1,4.1,0.64,0.31,0.04999999999999999,https://www.allrecipes.com/recipe/142488/amazing-spicy-grilled-shrimp/
Grilled Fish Tacos With Chipotle Lime Dressing,416.0,404,6.0,4.51,19.2,22.6,38.5,0.42,0.22,0.3600000000000001,https://www.allrecipes.com/recipe/142614/grilled-fish-tacos-with-chipotle-lime-dressing/
Grilled Garlic And Herb Shrimp,336.0,135,4.0,4.63,15.7,37.8,10.2,0.42,0.45,0.13000000000000006,https://www.allrecipes.com/recipe/143394/grilled-garlic-and-herb-shrimp/
Butternut Squash Risotto,342.0,55,4.0,4.53,8.0,7.4,57.1,0.21,0.09,0.7000000000000001,https://www.allrecipes.com/recipe/144760/butternut-squash-risotto/
Marinated Pork Tenderloin,278.0,390,4.0,4.57,10.7,27.0,16.9,0.35,0.39,0.26,https://www.allrecipes.com/recipe/14495/marinated-pork-tenderloin/
Portobello Mushroom Burgers,203.0,35,4.0,4.61,14.6,10.3,9.8,0.65,0.2,0.14999999999999997,https://www.allrecipes.com/recipe/14497/portobello-mushroom-burgers/
Maple Glazed Ribs,485.0,220,6.0,4.57,29.5,24.2,30.5,0.55,0.2,0.24999999999999994,https://www.allrecipes.com/recipe/14503/maple-glazed-ribs/
California Grilled Veggie Sandwich,393.0,50,4.0,4.82,23.8,9.2,36.5,0.55,0.09,0.36,https://www.allrecipes.com/recipe/14504/california-grilled-veggie-sandwich/
London Broil I,222.0,510,6.0,4.55,9.1,30.1,3.8,0.37,0.54,0.08999999999999997,https://www.allrecipes.com/recipe/14520/london-broil-i/
Asian Beef Skewers,135.0,160,6.0,4.66,4.9,14.7,6.7,0.33,0.44,0.22999999999999993,https://www.allrecipes.com/recipe/14521/asian-beef-skewers/
Pizza On The Grill I,212.0,180,16.0,4.71,11.3,6.2,21.5,0.48,0.12,0.4,https://www.allrecipes.com/recipe/14522/pizza-on-the-grill-i/
Prize Winning Baby Back Ribs,441.0,95,6.0,4.63,30.0,24.6,16.9,0.61,0.22,0.17,https://www.allrecipes.com/recipe/14539/prize-winning-baby-back-ribs/
Barbequed Marinated Flank Steak,388.0,505,6.0,4.6,27.8,24.8,9.7,0.64,0.26,0.09999999999999998,https://www.allrecipes.com/recipe/14558/barbequed-marinated-flank-steak/
London Broil Ii,396.0,345,8.0,4.57,20.6,48.6,1.2,0.47,0.49,0.040000000000000036,https://www.allrecipes.com/recipe/14562/london-broil-ii/
Feta Cheese Turkey Burgers,318.0,0,4.0,4.56,21.9,25.5,3.6,0.62,0.32,0.06,https://www.allrecipes.com/recipe/14572/feta-cheese-turkey-burgers/
Big Smokey Burgers,537.0,35,6.0,4.56,29.7,38.7,26.6,0.5,0.29,0.21000000000000002,https://www.allrecipes.com/recipe/145758/big-smokey-burgers/
Basil Shrimp,206.0,90,9.0,4.59,10.2,25.0,2.4,0.45,0.49,0.06000000000000005,https://www.allrecipes.com/recipe/14580/basil-shrimp/
Veggie Pita Pizza,405.0,20,1.0,4.75,18.0,19.7,39.9,0.4,0.19,0.41,https://www.allrecipes.com/recipe/14584/veggie-pita-pizza/
Slovak Stuffed Cabbage,556.0,120,8.0,4.51,36.5,25.9,31.6,0.59,0.19,0.22000000000000003,https://www.allrecipes.com/recipe/14597/slovak-stuffed-cabbage/
Beef Tenderloin With Roasted Shallots,653.0,105,6.0,4.83,50.6,31.6,11.9,0.7,0.19,0.11000000000000004,https://www.allrecipes.com/recipe/14606/beef-tenderloin-with-roasted-shallots/
Slow Cooker Barbeque,343.0,550,8.0,4.58,17.9,20.5,23.3,0.47,0.24,0.29000000000000004,https://www.allrecipes.com/recipe/14608/slow-cooker-barbeque/
Cola Pot Roast Ii,423.0,315,8.0,4.55,23.3,38.8,12.7,0.5,0.37,0.13,https://www.allrecipes.com/recipe/14618/cola-pot-roast-ii/
Beef Pot Roast,551.0,140,8.0,4.55,41.9,39.4,1.6,0.68,0.29,0.02999999999999997,https://www.allrecipes.com/recipe/14621/beef-pot-roast/
Rib Eye Steaks With A Soy And Ginger Marinade,467.0,80,4.0,4.55,27.1,33.6,18.8,0.52,0.29,0.19,https://www.allrecipes.com/recipe/14624/rib-eye-steaks-with-a-soy-and-ginger-marinade/
Mushroom Meatloaf,765.0,120,4.0,4.5,50.8,48.5,26.2,0.6,0.25,0.15000000000000002,https://www.allrecipes.com/recipe/14629/mushroom-meatloaf/
Barbecued Beef,276.0,620,12.0,4.65,16.2,18.7,13.5,0.53,0.27,0.19999999999999996,https://www.allrecipes.com/recipe/14646/barbecued-beef/
Liver And Onions,303.0,30,4.0,4.68,15.7,24.3,15.0,0.47,0.32,0.21000000000000002,https://www.allrecipes.com/recipe/14673/liver-and-onions/
Brisket With Bbq Sauce,560.0,850,10.0,4.72,42.3,34.1,9.3,0.68,0.24,0.07999999999999996,https://www.allrecipes.com/recipe/14675/brisket-with-bbq-sauce/
Sesame Beef,354.0,45,4.0,4.52,22.5,22.2,15.8,0.57,0.25,0.18000000000000005,https://www.allrecipes.com/recipe/14679/sesame-beef/
French Dip Sandwiches,372.0,730,10.0,4.54,14.4,29.6,29.8,0.35,0.32,0.33,https://www.allrecipes.com/recipe/14689/french-dip-sandwiches/
Souvlaki,189.0,165,12.0,4.7,8.1,24.2,4.3,0.39,0.51,0.09999999999999998,https://www.allrecipes.com/recipe/14713/souvlaki/
Kielbasa And Cabbage,377.0,40,6.0,4.53,26.0,17.2,20.2,0.62,0.18,0.2,https://www.allrecipes.com/recipe/14714/kielbasa-and-cabbage/
Grilled Pork Tenderloin,197.0,55,6.0,4.67,3.7,23.5,15.7,0.17,0.48,0.35,https://www.allrecipes.com/recipe/14726/grilled-pork-tenderloin/
Herbed Pork And Apples,358.0,650,14.0,4.62,21.1,20.4,21.3,0.53,0.23,0.23999999999999996,https://www.allrecipes.com/recipe/14730/herbed-pork-and-apples/
Honey Glazed Ham,521.0,95,15.0,4.67,28.3,26.1,42.4,0.49,0.2,0.31,https://www.allrecipes.com/recipe/14745/honey-glazed-ham/
Pork Dumplings,752.0,0,6.0,4.6,28.8,39.2,81.1,0.34,0.21,0.44999999999999996,https://www.allrecipes.com/recipe/14759/pork-dumplings/
Gouda And Spinach Stuffed Pork Chops,451.0,70,4.0,4.52,25.5,38.8,23.8,0.51,0.34,0.14999999999999997,https://www.allrecipes.com/recipe/148238/gouda-and-spinach-stuffed-pork-chops/
Camp David Spaghetti With Italian Sausage,439.0,115,8.0,4.61,16.5,24.5,47.5,0.34,0.22,0.43999999999999995,https://www.allrecipes.com/recipe/148543/camp-david-spaghetti-with-italian-sausage/
Slow Cooker Carolina Bbq,293.0,735,10.0,4.64,17.3,27.6,3.6,0.53,0.38,0.08999999999999997,https://www.allrecipes.com/recipe/148544/slow-cooker-carolina-bbq/
Super Simple Super Spicy Mongolian Beef,200.0,81,4.0,4.58,11.9,15.4,7.9,0.54,0.31,0.14999999999999997,https://www.allrecipes.com/recipe/148831/super-simple-super-spicy-mongolian-beef/
Kielbasa With Brussels Sprouts,441.0,33,4.0,4.56,35.1,17.8,13.4,0.72,0.16,0.12000000000000002,https://www.allrecipes.com/recipe/148970/kielbasa-with-brussels-sprouts/
