title,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5
Chef Johns Roasted Leg Of Lamb,0.0,0.5482613444328308,0.0,0.4340333938598633,0.0,0.0
Chef Johns Salmon,0.0,0.3451109230518341,0.0,0.6321581602096558,0.0,0.0
Chef Johns Salmon Cakes ,0.0,0.4979313910007477,0.14179697632789612,0.3441392481327057,0.0,0.0
Chef Johns Salmon Mango Bango,0.0,0.0,0.0,0.9731125831604004,0.0,0.0
Chef Johns Sausage And Egg Pizza,0.45143717527389526,0.3813047409057617,0.15505948662757874,0.0,0.0,0.0
Chef Johns Scalloped Oysters,0.0,0.22192133963108063,0.7539750933647156,0.0,0.0,0.0
Chef Johns Shakshuka,0.0,0.984171986579895,0.0,0.0,0.0,0.0
Chef Johns Shepherds Pie,0.0,0.0,0.9715819954872131,0.0,0.0,0.0
Chef Johns Shrimp Fra Diavolo,0.0,0.9818809032440186,0.0,0.0,0.0,0.0
Chef Johns Sloppy Joes ,0.0,0.0,0.0,0.0,0.0,0.9768475294113159
Chef Johns Smothered Pork Chops ,0.0,0.0,0.0,0.9731127023696899,0.0,0.0
Chef Johns Spaghetti Al Tonno ,0.0,0.9851163625717163,0.0,0.0,0.0,0.0
Chef Johns Spaghetti Alla Carbonara,0.619513750076294,0.31304964423179626,0.054159361869096756,0.0,0.0,0.0
Chef Johns Spaghetti With Red Clam Sauce,0.25101497769355774,0.735468327999115,0.0,0.0,0.0,0.0
Chef Johns Steak Diane,0.0,0.0,0.0,0.7550464868545532,0.0,0.23143504559993744
Chef Johns Steak Pizzaiola,0.0,0.8248440027236938,0.0,0.16288207471370697,0.0,0.0
Chef Johns Stuffed Peppers,0.0,0.7103756070137024,0.0,0.0,0.0,0.2802317440509796
Chef Johns Swedish Meatballs,0.0,0.0,0.9358696341514587,0.0518573597073555,0.0,0.0
Chef Johns Teriyaki Burgers,0.0,0.0,0.0,0.0,0.0,0.9731098413467407
Chef Johns Tomato Tart,0.20416876673698425,0.33566561341285706,0.0,0.36907652020454407,0.08182629942893982,0.0
Chef Johns Turkey Burger,0.0,0.0,0.0,0.9679404497146606,0.0,0.0
Chef Johns Turkey Noodle Casserole,0.0,0.0,0.9818788170814514,0.0,0.0,0.0
Chef Johns Turkey Sloppy Joes,0.0,0.0,0.27639690041542053,0.0,0.0,0.7085617184638977
Chef Johns Ultimate Steak Sandwich,0.0,0.5727165341377258,0.0,0.0,0.0,0.41500985622406006
Chef Johns Yucatan Style Grilled Pork,0.0,0.0,0.0,0.9768453240394592,0.0,0.0
Cherry Tomato And Cheese Galette,0.0,0.4642545282840729,0.34266844391822815,0.18549850583076477,0.0,0.0
Cherry Tomato Sauce With Penne ,0.0,0.9757228493690491,0.0,0.0,0.0,0.0
Chicago Deep Dish Pizza,0.7793372869491577,0.20973025262355804,0.0,0.0,0.0,0.0
Chicago Inspired Italian Beef Sandwich ,0.0,0.43625301122665405,0.0,0.551084578037262,0.0,0.0
Chicago Style Hot Dog,0.0,0.0,0.0,0.0,0.0,0.9778662323951721
Chicago Style Pan Pizza,0.97684645652771,0.0,0.0,0.0,0.0,0.0
Chicken And Mushroom Chimichangas ,0.0,0.0,0.6102465987205505,0.37818974256515503,0.0,0.0
Chicken Little Semi Boneless Roast Game Hen,0.0,0.0,0.0,0.9715853929519653,0.0,0.0
Chicken With 20 Cloves Of Garlic ,0.0,0.9768480658531189,0.0,0.0,0.0,0.0
Chile Garlic Bbq Salmon,0.0,0.0,0.0,0.0,0.0,0.9679433107376099
Chile Verde Ii,0.0,0.0,0.0,0.9825129508972168,0.0,0.0
Chinese Barbeque Pork Char Siu,0.0,0.0,0.0,0.0,0.0,0.9831040501594543
Chinese Pepper Steak,0.0,0.0,0.0,0.0,0.0,0.9744847416877747
Chinese Pork Dumplings,0.0,0.0,0.0,0.0,0.0,0.9831041693687439
Chipotle Crusted Pork Tenderloin,0.0,0.0,0.0,0.0,0.0,0.9603121280670166
Chipotle Shrimp Tacos,0.0,0.366291344165802,0.2641691267490387,0.0,0.0,0.34898650646209717
Chop Suey,0.0,0.0,0.0,0.0,0.0,0.9744823575019836
Chorizo Steamed Clams,0.0,0.9679406881332397,0.0,0.0,0.0,0.0
Chorizo Stuffed Bell Peppers,0.5248652100563049,0.0,0.3990641236305237,0.0,0.0,0.06557704508304596
Christmas Prime Rib,0.0,0.0,0.0,0.9796692728996277,0.0,0.0
Cider Braised Pork Shoulder,0.0,0.0,0.0,0.9831036329269409,0.0,0.0
Cindys Jambalaya,0.0,0.8001785278320312,0.0,0.18478019535541534,0.0,0.0
Clam Sauce With Linguine,0.0,0.9632269144058228,0.0,0.0,0.0,0.0
