Topics,Alpha,Beta,Coherence
13,symmetric,symmetric,0.3790304337218485
13,asymmetric,0.01,0.37173735427339066
13,asymmetric,0.1,0.3958938732177622
13,asymmetric,1,0.4177678289843261
13,asymmetric,symmetric,0.4071922899367125
14,0.01,0.01,0.39989747063753206
14,0.01,0.1,0.4126617240019774
14,0.01,1,0.4351428354926056
14,0.01,symmetric,0.3953310651894896
14,0.1,0.01,0.38829941995896783
14,0.1,0.1,0.4013106293240771
14,0.1,1,0.42746802335602657
14,0.1,symmetric,0.38883368649619054
14,1,0.01,0.3508301732960137
14,1,0.1,0.3551906969394124
14,1,1,0.3541884900339634
14,1,symmetric,0.34585502728836454
14,symmetric,0.01,0.37746244415726776
14,symmetric,0.1,0.39432792635491204
14,symmetric,1,0.44588517013050444
14,symmetric,symmetric,0.3871005145293499
14,asymmetric,0.01,0.3784271756459274
14,asymmetric,0.1,0.42829092295875343
14,asymmetric,1,0.4251413917764499
14,asymmetric,symmetric,0.37850196846020484
15,0.01,0.01,0.3737674777146668
15,0.01,0.1,0.3854042765519376
15,0.01,1,0.40076560412729095
15,0.01,symmetric,0.3828128558997229
15,0.1,0.01,0.3705435523805952
15,0.1,0.1,0.37539761849891945
15,0.1,1,0.41836179042484833
15,0.1,symmetric,0.3621055476629262
15,1,0.01,0.34794891134577793
15,1,0.1,0.3535979765115566
15,1,1,0.348951902311279
15,1,symmetric,0.35379888591875985
15,symmetric,0.01,0.36046254879901324
15,symmetric,0.1,0.385356388872215
15,symmetric,1,0.4285452855309682
15,symmetric,symmetric,0.36571867174971734
15,asymmetric,0.01,0.31923686108602367
15,asymmetric,0.1,0.396901886516075
15,asymmetric,1,0.41540807454156
15,asymmetric,symmetric,0.37486806967802977
