title,calorie,protein_g,carb_g,fat_g,protein_ratio,carb_ratio,fat_ratio,servings,ratings,cook_time,link
Kris Amazing Shredded Mexican Beef,338.0,31.2,4.3,20.8,0.37,0.07999999999999996,0.55,12.0,4.55,525,https://www.allrecipes.com/recipe/217843/kris-amazing-shredded-mexican-beef/
Mozzarella Stuffed Pesto Turkey Meatballs,486.0,38.3,26.0,25.3,0.32,0.20999999999999996,0.47,12.0,4.75,70,https://www.allrecipes.com/recipe/217899/mozzarella-stuffed-pesto-turkey-meatballs/
Smoky Grilled Pork Chops,254.0,25.0,5.4,14.3,0.39,0.09999999999999998,0.51,4.0,4.59,55,https://www.allrecipes.com/recipe/218068/smoky-grilled-pork-chops/
Pineapple Grilled Pork Chops,392.0,40.9,26.0,12.9,0.42,0.28,0.3,4.0,4.63,505,https://www.allrecipes.com/recipe/218070/pineapple-grilled-pork-chops/
Grilled Pork Loin Chops,429.0,39.5,49.3,8.4,0.37,0.44999999999999996,0.18,2.0,4.66,275,https://www.allrecipes.com/recipe/218075/grilled-pork-loin-chops/
Classic And Simple Meat Lasagna,501.0,35.6,47.1,19.3,0.28,0.37,0.35,8.0,4.61,95,https://www.allrecipes.com/recipe/218091/classic-and-simple-meat-lasagna/
Heathers Grilled Salmon,380.0,34.7,15.7,19.4,0.37,0.16999999999999993,0.46,4.0,4.82,80,https://www.allrecipes.com/recipe/218093/heathers-grilled-salmon/
Slow Cooker Pot Roast,385.0,23.9,20.8,22.0,0.25,0.24,0.51,6.0,4.7,495,https://www.allrecipes.com/recipe/218547/slow-cooker-pot-roast/
Tater Tot Taco Casserole,477.0,24.9,38.4,27.0,0.21,0.28,0.51,8.0,4.56,75,https://www.allrecipes.com/recipe/218573/tater-tot-taco-casserole/
Johnsonviller Italian Meatballs,366.0,18.7,6.6,29.0,0.2,0.09000000000000008,0.71,6.0,4.6,45,https://www.allrecipes.com/recipe/218826/johnsonviller-italian-meatballs/
Pork Chops Italiano,290.0,25.3,7.8,17.6,0.35,0.09999999999999998,0.55,6.0,4.54,85,https://www.allrecipes.com/recipe/219005/pork-chops-italiano/
Rich And Creamy Beef Stroganoff,567.0,29.4,8.0,44.9,0.21,0.08000000000000007,0.71,8.0,4.68,110,https://www.allrecipes.com/recipe/219046/rich-and-creamy-beef-stroganoff/
Pork Carnitas,250.0,16.2,2.3,19.1,0.26,0.050000000000000044,0.69,12.0,4.86,225,https://www.allrecipes.com/recipe/219048/pork-carnitas/
Chef Johns Roast Turkey And Gravy,942.0,68.7,4.6,70.1,0.29,0.040000000000000036,0.67,16.0,4.89,295,https://www.allrecipes.com/recipe/219079/chef-johns-roast-turkey-and-gravy/
Chef Johns Macaroni And Cheese,695.0,29.4,72.8,32.3,0.17,0.41000000000000003,0.42,6.0,4.37,60,https://www.allrecipes.com/recipe/219166/chef-johns-macaroni-and-cheese/
Classic Meatloaf,284.0,21.6,14.8,14.9,0.3,0.22999999999999998,0.47,10.0,4.53,75,https://www.allrecipes.com/recipe/219171/classic-meatloaf/
Simple Beef Pot Roast,507.0,31.7,5.6,39.2,0.25,0.050000000000000044,0.7,6.0,4.75,210,https://www.allrecipes.com/recipe/219173/simple-beef-pot-roast/
Broiled Parmesan Lemon Tilapia ,213.0,26.9,2.5,10.1,0.51,0.06000000000000005,0.43,4.0,4.72,25,https://www.allrecipes.com/recipe/219337/broiled-parmesan-lemon-tilapia-/
Christmas Prime Rib,410.0,22.7,3.0,33.5,0.22,0.040000000000000036,0.74,12.0,4.84,645,https://www.allrecipes.com/recipe/219587/christmas-prime-rib/
Chef Johns Sloppy Joes ,271.0,24.6,14.4,12.6,0.36,0.21999999999999997,0.42,6.0,4.58,55,https://www.allrecipes.com/recipe/219635/chef-johns-sloppy-joes-/
Authentic Mexican Chili Rellenos,263.0,13.1,17.3,16.0,0.2,0.25,0.55,6.0,4.63,60,https://www.allrecipes.com/recipe/219646/authentic-mexican-chili-rellenos/
Italian Turkey Meatballs,188.0,19.6,8.1,8.6,0.42,0.17000000000000004,0.41,8.0,4.7,0,https://www.allrecipes.com/recipe/219874/italian-turkey-meatballs/
Chef Johns Salmon,496.0,45.1,2.3,33.0,0.36,0.040000000000000036,0.6,2.0,4.71,25,https://www.allrecipes.com/recipe/219911/chef-johns-salmon/
Chef Johns Shepherds Pie,311.0,16.2,23.5,17.2,0.21,0.29000000000000004,0.5,8.0,4.55,85,https://www.allrecipes.com/recipe/219919/chef-johns-shepherds-pie/
Creamy Mushroom Meatloaf,324.0,27.9,13.6,16.5,0.34,0.19999999999999996,0.46,8.0,4.72,135,https://www.allrecipes.com/recipe/219963/creamy-mushroom-meatloaf/
Halupki Stuffed Cabbage,468.0,28.1,21.7,29.8,0.24,0.19000000000000006,0.57,10.0,4.59,210,https://www.allrecipes.com/recipe/220002/halupki-stuffed-cabbage/
Slow Braised Beef And Cherry Tomato Sauce,572.0,26.8,53.0,29.1,0.19,0.35,0.46,8.0,4.1,255,https://www.allrecipes.com/recipe/220057/slow-braised-beef-and-cherry-tomato-sauce/
Chef Johns Classic Beef Stroganoff,307.0,15.8,4.1,24.5,0.21,0.07000000000000006,0.72,8.0,4.76,105,https://www.allrecipes.com/recipe/220059/chef-johns-classic-beef-stroganoff/
Eggplant Lasagna,404.0,27.7,30.0,20.6,0.27,0.27,0.46,8.0,4.7,95,https://www.allrecipes.com/recipe/220094/eggplant-lasagna/
Accidental Fish,556.0,21.7,3.0,51.7,0.16,0.0,0.84,2.0,4.58,30,https://www.allrecipes.com/recipe/220121/accidental-fish/
Chef Johns Ultimate Steak Sandwich,635.0,34.4,27.2,42.4,0.22,0.18000000000000005,0.6,6.0,4.12,35,https://www.allrecipes.com/recipe/220180/chef-johns-ultimate-steak-sandwich/
Homemade Sloppy Joes,251.0,21.5,14.4,11.9,0.34,0.22999999999999998,0.43,6.0,4.67,70,https://www.allrecipes.com/recipe/220182/homemade-sloppy-joes/
Baked Parmesan Tilapia,357.0,39.8,17.8,12.8,0.45,0.22999999999999998,0.32,8.0,4.56,40,https://www.allrecipes.com/recipe/220209/baked-parmesan-tilapia/
Boiled Baked Ribs,466.0,25.4,24.1,30.6,0.22,0.19000000000000006,0.59,4.0,4.62,130,https://www.allrecipes.com/recipe/220280/boiled-baked-ribs/
Miso Maple Glazed Salmon,365.0,30.5,16.0,19.3,0.33,0.18999999999999995,0.48,2.0,4.47,20,https://www.allrecipes.com/recipe/220324/miso-maple-glazed-salmon/
Hot Tamale Pie,640.0,34.7,54.3,31.8,0.22,0.32999999999999996,0.45,8.0,4.54,90,https://www.allrecipes.com/recipe/220414/hot-tamale-pie/
Irish Shepherds Pie,517.0,29.2,37.2,28.3,0.23,0.28,0.49,8.0,4.63,95,https://www.allrecipes.com/recipe/220519/irish-shepherds-pie/
Simple Garlic Shrimp,196.0,19.1,2.9,12.0,0.39,0.05999999999999994,0.55,4.0,4.81,25,https://www.allrecipes.com/recipe/220597/simple-garlic-shrimp/
Slow Cooker Pinto Beans,366.0,23.5,38.2,13.5,0.26,0.4099999999999999,0.33,8.0,4.57,800,https://www.allrecipes.com/recipe/220822/slow-cooker-pinto-beans/
Chef Johns Italian Meatballs,82.0,6.2,1.7,5.5,0.3,0.10000000000000009,0.6,30.0,4.82,135,https://www.allrecipes.com/recipe/220854/chef-johns-italian-meatballs/
Leftover Ham  N  Potato Casserole,578.0,24.3,40.3,35.8,0.17,0.2699999999999999,0.56,6.0,4.66,75,https://www.allrecipes.com/recipe/220961/leftover-ham--n--potato-casserole/
Baked Bbq Baby Back Ribs,488.0,18.9,51.8,22.9,0.15,0.43000000000000005,0.42,4.0,4.61,200,https://www.allrecipes.com/recipe/220987/baked-bbq-baby-back-ribs/
Maple Brined Pork Loin,376.0,30.7,19.3,18.9,0.33,0.21999999999999997,0.45,6.0,4.81,560,https://www.allrecipes.com/recipe/220989/maple-brined-pork-loin/
Mint Crusted Rack Of Lamb,681.0,29.0,20.2,52.9,0.17,0.13,0.7,4.0,4.9,50,https://www.allrecipes.com/recipe/221005/mint-crusted-rack-of-lamb/
Chef Johns Crab Cakes,297.0,28.5,10.8,15.0,0.38,0.16999999999999993,0.45,4.0,4.66,83,https://www.allrecipes.com/recipe/221079/chef-johns-crab-cakes/
Grilled Skirt Steak With Homemade Asian Barbeque Marinade,340.0,39.2,9.9,15.5,0.46,0.13,0.41,5.0,4.46,28,https://www.allrecipes.com/recipe/221129/grilled-skirt-steak-with-homemade-asian-barbeque-marinade/
Creamy Tomato Tuna Penne Pasta,1269.0,72.4,202.3,22.1,0.23,0.61,0.16,2.0,4.57,30,https://www.allrecipes.com/recipe/221152/creamy-tomato-tuna-penne-pasta/
Molasses Brined Pork Chops,346.0,24.2,31.2,13.5,0.28,0.37,0.35,4.0,4.54,385,https://www.allrecipes.com/recipe/221163/molasses-brined-pork-chops/
Grilled Korean Style Beef Short Ribs,1054.0,44.8,24.1,85.3,0.17,0.09999999999999998,0.73,4.0,4.85,620,https://www.allrecipes.com/recipe/221226/grilled-korean-style-beef-short-ribs/
Little Lamb Meatballs In A Spicy Eggplant Tomato Sauce,420.0,24.9,21.5,26.4,0.24,0.19000000000000006,0.57,4.0,4.83,115,https://www.allrecipes.com/recipe/221228/little-lamb-meatballs-in-a-spicy-eggplant-tomato-sauce/
Fast Salmon With A Ginger Glaze,377.0,48.4,13.4,13.7,0.51,0.15999999999999992,0.33,4.0,4.69,25,https://www.allrecipes.com/recipe/221267/fast-salmon-with-a-ginger-glaze/
Beef Medallions With Caramelized Pan Sauce,567.0,35.8,6.0,41.5,0.25,0.08999999999999997,0.66,4.0,4.64,35,https://www.allrecipes.com/recipe/221898/beef-medallions-with-caramelized-pan-sauce/
Easy Homemade Pastrami,4709.0,273.2,32.6,383.9,0.23,0.040000000000000036,0.73,1.0,4.69,945,https://www.allrecipes.com/recipe/221900/easy-homemade-pastrami/
Grilled Mongolian Pork Chops,839.0,41.8,62.1,47.4,0.2,0.29000000000000004,0.51,2.0,4.69,420,https://www.allrecipes.com/recipe/221901/grilled-mongolian-pork-chops/
Fish Tacos Ultimo,336.0,31.5,29.2,11.0,0.38,0.33000000000000007,0.29,8.0,4.59,60,https://www.allrecipes.com/recipe/221935/fish-tacos-ultimo/
Quick Fish Tacos,416.0,30.1,38.9,15.2,0.29,0.38,0.33,4.0,4.57,35,https://www.allrecipes.com/recipe/221936/quick-fish-tacos/
Black Eyed Peas With Pork And Greens,463.0,37.4,45.5,15.4,0.32,0.38,0.3,8.0,4.85,625,https://www.allrecipes.com/recipe/221949/black-eyed-peas-with-pork-and-greens/
Chef Johns Perfect Prime Rib,1757.0,72.5,1.0,160.6,0.17,0.010000000000000009,0.82,4.0,4.77,390,https://www.allrecipes.com/recipe/221958/chef-johns-perfect-prime-rib/
Roast Beef Tenderloin,489.0,56.8,5.8,25.0,0.46,0.07999999999999996,0.46,6.0,4.91,140,https://www.allrecipes.com/recipe/221962/roast-beef-tenderloin/
Lamb Meatballs And Sauce,610.0,31.3,24.4,43.5,0.21,0.15000000000000002,0.64,4.0,4.88,110,https://www.allrecipes.com/recipe/221967/lamb-meatballs-and-sauce/
Chef Johns Spaghetti Alla Carbonara,688.0,36.3,66.1,30.3,0.21,0.39,0.4,2.0,4.59,25,https://www.allrecipes.com/recipe/221971/chef-johns-spaghetti-alla-carbonara/
Seared Halibut With Bacon And Bean Relish,366.0,45.7,4.9,17.4,0.5,0.07000000000000006,0.43,4.0,4.75,40,https://www.allrecipes.com/recipe/221974/seared-halibut-with-bacon-and-bean-relish/
Red Curry Flank Steak ,176.0,21.6,5.5,7.1,0.49,0.15000000000000002,0.36,4.0,4.43,80,https://www.allrecipes.com/recipe/221975/red-curry-flank-steak-/
Roasted Lamb Breast,622.0,46.2,7.7,45.3,0.3,0.040000000000000036,0.66,4.0,4.64,175,https://www.allrecipes.com/recipe/221996/roasted-lamb-breast/
Short Rib And Cauliflower Curry,1137.0,48.4,16.9,98.0,0.17,0.04999999999999993,0.78,4.0,4.45,235,https://www.allrecipes.com/recipe/221999/short-rib-and-cauliflower-curry/
Spaghetti Aglio E Olio,755.0,22.9,87.4,34.5,0.12,0.47,0.41,4.0,4.69,32,https://www.allrecipes.com/recipe/222000/spaghetti-aglio-e-olio/
Chef Johns Stuffed Peppers,377.0,20.1,35.1,16.9,0.21,0.39,0.4,8.0,4.79,110,https://www.allrecipes.com/recipe/222002/chef-johns-stuffed-peppers/
Healthier Brown Sugar Meatloaf,265.0,21.2,16.3,12.8,0.32,0.25,0.43,8.0,4.52,80,https://www.allrecipes.com/recipe/222111/healthier-brown-sugar-meatloaf/
Healthier Broiled Tilapia Parmesan,180.0,25.3,1.1,7.7,0.56,0.05999999999999994,0.38,8.0,4.74,15,https://www.allrecipes.com/recipe/222134/healthier-broiled-tilapia-parmesan/
Pizza With Ham Asparagus And Ricotta,1129.0,36.7,115.4,57.0,0.13,0.41999999999999993,0.45,2.0,4.64,37,https://www.allrecipes.com/recipe/222186/pizza-with-ham-asparagus-and-ricotta/
Pork Tenderloin Diablo,235.0,23.7,2.0,14.1,0.4,0.05999999999999994,0.54,3.0,4.78,40,https://www.allrecipes.com/recipe/222187/pork-tenderloin-diablo/
Grilled Tuna With Fresh Horseradish,287.0,54.4,4.3,4.7,0.76,0.08999999999999997,0.15,2.0,4.64,31,https://www.allrecipes.com/recipe/222190/grilled-tuna-with-fresh-horseradish/
Lamb Braised In Pomegranate,546.0,34.9,23.3,34.1,0.26,0.17999999999999994,0.56,6.0,4.75,165,https://www.allrecipes.com/recipe/222191/lamb-braised-in-pomegranate/
Chef Johns Braised Lamb Shanks,289.0,28.0,9.5,15.0,0.39,0.14,0.47,4.0,4.33,145,https://www.allrecipes.com/recipe/222192/chef-johns-braised-lamb-shanks/
Grilled Cod,152.0,20.3,2.2,6.6,0.53,0.07999999999999996,0.39,4.0,4.6,35,https://www.allrecipes.com/recipe/222202/grilled-cod/
Sous Vide Duck Breast,177.0,19.0,0.2,10.7,0.43,0.030000000000000027,0.54,2.0,4.88,135,https://www.allrecipes.com/recipe/222207/sous-vide-duck-breast/
Sous Vide New York Strip Steak,638.0,74.9,2.3,34.9,0.47,0.040000000000000036,0.49,2.0,4.67,175,https://www.allrecipes.com/recipe/222209/sous-vide-new-york-strip-steak/
Cocoa Cherry Pork,240.0,30.0,15.4,6.4,0.5,0.26,0.24,6.0,4.66,40,https://www.allrecipes.com/recipe/222235/cocoa-cherry-pork/
Coconut Milk Corned Beef And Cabbage,754.0,35.9,26.0,57.1,0.19,0.1299999999999999,0.68,6.0,4.64,240,https://www.allrecipes.com/recipe/222236/coconut-milk-corned-beef-and-cabbage/
Cotechino And Braised Beans,497.0,28.5,52.9,19.9,0.23,0.41000000000000003,0.36,6.0,5.0,575,https://www.allrecipes.com/recipe/222237/cotechino-and-braised-beans/
Chef Johns Turkey Noodle Casserole,736.0,41.0,67.3,33.4,0.22,0.37,0.41,6.0,4.24,55,https://www.allrecipes.com/recipe/222238/chef-johns-turkey-noodle-casserole/
Vegan Black Bean Burgers,264.0,11.6,51.7,1.4,0.18,0.77,0.05,4.0,4.51,35,https://www.allrecipes.com/recipe/222247/vegan-black-bean-burgers/
Slow Cooker Barbecue Ribs,497.0,26.0,33.0,29.6,0.21,0.25,0.54,8.0,4.52,520,https://www.allrecipes.com/recipe/22230/slow-cooker-barbecue-ribs/
Ditalini With Roasted Tomato Sauce And Goat Cheese,400.0,11.7,64.0,11.1,0.12,0.63,0.25,6.0,4.62,105,https://www.allrecipes.com/recipe/222308/ditalini-with-roasted-tomato-sauce-and-goat-cheese/
Fennel Smoked Salmon,508.0,39.7,12.7,33.5,0.31,0.10000000000000009,0.59,2.0,4.67,95,https://www.allrecipes.com/recipe/222311/fennel-smoked-salmon/
Garlic Steak With Garlic,865.0,100.1,11.7,44.0,0.46,0.07999999999999996,0.46,2.0,4.67,535,https://www.allrecipes.com/recipe/222330/garlic-steak-with-garlic/
How To Cook A Turkey,355.0,45.5,1.5,17.2,0.51,0.050000000000000044,0.44,24.0,4.84,225,https://www.allrecipes.com/recipe/222332/how-to-cook-a-turkey/
Chef Johns Beans And Greens,203.0,7.8,24.8,8.0,0.15,0.5,0.35,6.0,4.78,35,https://www.allrecipes.com/recipe/222333/chef-johns-beans-and-greens/
Chef Johns Roast Christmas Goose,1107.0,85.7,8.6,77.5,0.31,0.06000000000000005,0.63,8.0,4.71,220,https://www.allrecipes.com/recipe/222340/chef-johns-roast-christmas-goose/
Sweet And Sour Pork Tenderloin,297.0,26.2,22.7,11.4,0.35,0.30000000000000004,0.35,4.0,4.55,55,https://www.allrecipes.com/recipe/222342/sweet-and-sour-pork-tenderloin/
Pistachio Crusted Rack Of Lamb,619.0,53.1,10.3,39.8,0.34,0.08000000000000007,0.58,4.0,4.94,55,https://www.allrecipes.com/recipe/222394/pistachio-crusted-rack-of-lamb/
Chef Johns Scalloped Oysters,334.0,11.3,18.1,24.0,0.14,0.20999999999999996,0.65,12.0,4.57,60,https://www.allrecipes.com/recipe/222401/chef-johns-scalloped-oysters/
Polish Noodles Cottage Cheese And Noodles,545.0,20.8,57.2,26.1,0.15,0.42000000000000004,0.43,6.0,4.58,30,https://www.allrecipes.com/recipe/222405/polish-noodles-cottage-cheese-and-noodles/
Baked Spaghetti ,728.0,42.5,61.9,33.6,0.23,0.35,0.42,8.0,4.69,85,https://www.allrecipes.com/recipe/222582/baked-spaghetti-/
Parmesan Sage Pork Chops,527.0,28.6,37.7,28.9,0.22,0.29000000000000004,0.49,2.0,4.62,40,https://www.allrecipes.com/recipe/222583/parmesan-sage-pork-chops/
Easy Corned Beef And Cabbage,647.0,38.8,45.8,34.3,0.24,0.28,0.48,6.0,4.59,495,https://www.allrecipes.com/recipe/222592/easy-corned-beef-and-cabbage/
Tasty Lentil Tacos,304.0,9.4,44.2,10.0,0.12,0.5800000000000001,0.3,6.0,4.71,50,https://www.allrecipes.com/recipe/222610/tasty-lentil-tacos/
Worlds Fastest Meatballs,387.0,32.4,21.1,19.7,0.33,0.20999999999999996,0.46,6.0,4.59,60,https://www.allrecipes.com/recipe/222854/worlds-fastest-meatballs/
Shredded Beef Enchiladas,577.0,30.0,30.1,38.0,0.21,0.20000000000000007,0.59,10.0,4.56,135,https://www.allrecipes.com/recipe/22286/shredded-beef-enchiladas/
Drunken Mussels,553.0,28.1,40.5,14.8,0.2,0.56,0.24,2.0,4.49,20,https://www.allrecipes.com/recipe/223046/drunken-mussels/
Chef Johns Grilled Jerk Pork Tenderloin,337.0,41.0,5.9,15.7,0.49,0.09000000000000008,0.42,6.0,4.55,300,https://www.allrecipes.com/recipe/223047/chef-johns-grilled-jerk-pork-tenderloin/
Chef Johns Turkey Sloppy Joes,394.0,25.9,36.8,16.5,0.26,0.36,0.38,6.0,4.74,40,https://www.allrecipes.com/recipe/223050/chef-johns-turkey-sloppy-joes/
Chef Johns Turkey Burger,301.0,34.4,5.0,16.3,0.46,0.050000000000000044,0.49,4.0,4.6,90,https://www.allrecipes.com/recipe/223150/chef-johns-turkey-burger/
Lighter Spaghetti Alfredo With Cauliflower,660.0,23.6,91.4,23.1,0.14,0.54,0.32,4.0,4.18,60,https://www.allrecipes.com/recipe/223152/lighter-spaghetti-alfredo-with-cauliflower/
Creamy Salmon And Leek Pasta,896.0,31.3,62.2,56.7,0.14,0.29000000000000004,0.57,2.0,4.49,45,https://www.allrecipes.com/recipe/223153/creamy-salmon-and-leek-pasta/
Crunchy Eggplant Parmesan,350.0,15.8,35.0,18.8,0.18,0.3400000000000001,0.48,8.0,4.6,155,https://www.allrecipes.com/recipe/223358/crunchy-eggplant-parmesan/
Chef Johns Baked Eggs,560.0,20.6,39.2,35.9,0.15,0.27,0.58,1.0,4.71,20,https://www.allrecipes.com/recipe/223363/chef-johns-baked-eggs/
Melt In Your Mouth Meat Loaf,328.0,24.7,18.4,16.9,0.3,0.24,0.46,6.0,4.54,340,https://www.allrecipes.com/recipe/223381/melt-in-your-mouth-meat-loaf/
Turkey Cheeseburger Meatloaf,253.0,27.1,11.3,10.8,0.43,0.18999999999999995,0.38,6.0,4.54,75,https://www.allrecipes.com/recipe/223499/turkey-cheeseburger-meatloaf/
Barbecue Ribs,504.0,29.9,23.1,30.2,0.24,0.21999999999999997,0.54,8.0,4.8,195,https://www.allrecipes.com/recipe/22469/barbecue-ribs/
Baked Salmon Fillets Dijon,331.0,25.0,7.5,21.5,0.3,0.1200000000000001,0.58,4.0,4.54,25,https://www.allrecipes.com/recipe/22538/baked-salmon-fillets-dijon/
Kathys Roast And Vegetables,310.0,26.6,22.3,12.5,0.34,0.30000000000000004,0.36,8.0,4.6,525,https://www.allrecipes.com/recipe/22605/kathys-roast-and-vegetables/
Spinach Lasagna Iii,360.0,19.0,41.2,13.5,0.21,0.44999999999999996,0.34,12.0,4.67,110,https://www.allrecipes.com/recipe/22729/spinach-lasagna-iii/
Stuffed Shells Iv,323.0,24.4,30.9,11.3,0.3,0.39,0.31,14.0,4.61,75,https://www.allrecipes.com/recipe/22751/stuffed-shells-iv/
Crispy Pork Cutlets,748.0,66.8,71.2,29.3,0.36,0.29000000000000004,0.35,4.0,4.65,65,https://www.allrecipes.com/recipe/228045/crispy-pork-cutlets/
Veracruz Style Red Snapper,452.0,43.1,16.2,25.2,0.38,0.12,0.5,2.0,4.88,40,https://www.allrecipes.com/recipe/228046/veracruz-style-red-snapper/
Miso Glazed Skirt Steak,184.0,21.3,7.1,7.4,0.46,0.17999999999999994,0.36,4.0,4.22,48,https://www.allrecipes.com/recipe/228049/miso-glazed-skirt-steak/
Chinese Pork Dumplings,540.0,27.7,50.2,24.6,0.21,0.38,0.41,5.0,4.71,80,https://www.allrecipes.com/recipe/228052/chinese-pork-dumplings/
Parmesan Crusted Tilapia Fillets,210.0,28.9,1.3,9.3,0.55,0.04999999999999993,0.4,4.0,4.56,20,https://www.allrecipes.com/recipe/228056/parmesan-crusted-tilapia-fillets/
Flavorful Flounder For The Oven,216.0,23.5,1.0,12.7,0.44,0.030000000000000027,0.53,8.0,4.52,25,https://www.allrecipes.com/recipe/228135/flavorful-flounder-for-the-oven/
Cavatini Ii,476.0,24.2,36.6,25.9,0.2,0.31000000000000005,0.49,12.0,4.56,130,https://www.allrecipes.com/recipe/22822/cavatini-ii/
Vegetarian Bibimbap,395.0,13.6,45.0,18.8,0.14,0.42999999999999994,0.43,3.0,4.53,50,https://www.allrecipes.com/recipe/228241/vegetarian-bibimbap/
All American Burger Dog,763.0,51.0,25.7,49.7,0.27,0.14,0.59,2.0,4.54,20,https://www.allrecipes.com/recipe/228272/all-american-burger-dog/
Teriyaki Salmon,411.0,33.6,10.3,25.8,0.33,0.10999999999999988,0.56,4.0,4.62,85,https://www.allrecipes.com/recipe/228285/teriyaki-salmon/
Perfect Ten Baked Cod,280.0,20.9,9.3,16.1,0.3,0.17999999999999994,0.52,4.0,4.53,35,https://www.allrecipes.com/recipe/228319/perfect-ten-baked-cod/
Lamb Shank Vindaloo,523.0,28.7,19.7,37.0,0.22,0.14,0.64,4.0,4.83,740,https://www.allrecipes.com/recipe/228375/lamb-shank-vindaloo/
Grilled Lemon And Rosemary Lamb Chops,198.0,15.3,4.5,13.6,0.31,0.07000000000000006,0.62,8.0,4.85,265,https://www.allrecipes.com/recipe/228642/grilled-lemon-and-rosemary-lamb-chops/
Mexican Rice,510.0,28.3,59.1,18.3,0.22,0.45999999999999996,0.32,6.0,4.56,55,https://www.allrecipes.com/recipe/22884/mexican-rice/
Grilled Mediterranean Vegetable Sandwich,356.0,9.0,48.3,14.8,0.1,0.53,0.37,6.0,4.59,180,https://www.allrecipes.com/recipe/22886/grilled-mediterranean-vegetable-sandwich/
Best Ever Slow Cooker Italian Beef Roast,285.0,20.7,6.0,18.8,0.29,0.1200000000000001,0.59,8.0,4.73,370,https://www.allrecipes.com/recipe/229006/best-ever-slow-cooker-italian-beef-roast/
Best Beef Enchiladas,583.0,33.0,46.1,29.2,0.23,0.31999999999999995,0.45,8.0,4.63,45,https://www.allrecipes.com/recipe/229123/best-beef-enchiladas/
Cheater Pierogi,524.0,23.0,37.6,30.7,0.18,0.29000000000000004,0.53,10.0,4.3,130,https://www.allrecipes.com/recipe/229273/cheater-pierogi/
Baked Eggplant Parmesan,474.0,29.6,43.9,20.4,0.25,0.36,0.39,6.0,4.52,245,https://www.allrecipes.com/recipe/229369/baked-eggplant-parmesan/
Cheesy Ham Potato Bake,302.0,13.0,16.3,25.0,0.17,0.07999999999999996,0.75,12.0,4.61,70,https://www.allrecipes.com/recipe/229370/cheesy-ham-potato-bake/
Israeli Couscous And Cheese,359.0,11.5,31.4,20.7,0.13,0.35,0.52,4.0,4.31,25,https://www.allrecipes.com/recipe/229445/israeli-couscous-and-cheese/
Chef Johns Steak Pizzaiola,319.0,19.3,12.2,19.3,0.24,0.21999999999999997,0.54,4.0,4.82,40,https://www.allrecipes.com/recipe/229447/chef-johns-steak-pizzaiola/
Beef Short Ribs Sauerbraten,620.0,22.6,18.3,49.7,0.15,0.13,0.72,6.0,4.8,64,https://www.allrecipes.com/recipe/229449/beef-short-ribs-sauerbraten/
Tuscan Flank Steak,497.0,20.8,5.3,43.8,0.17,0.039999999999999925,0.79,4.0,4.46,280,https://www.allrecipes.com/recipe/229452/tuscan-flank-steak/
Valentines Salmon,444.0,39.3,20.9,21.8,0.35,0.20999999999999996,0.44,4.0,4.62,65,https://www.allrecipes.com/recipe/229453/valentines-salmon/
Best Ever Meat Loaf,409.0,28.4,22.3,22.7,0.28,0.21999999999999997,0.5,6.0,4.72,80,https://www.allrecipes.com/recipe/229559/best-ever-meat-loaf/
Salisbury Steak With Mushrooms,323.0,26.6,17.2,15.8,0.33,0.22999999999999998,0.44,4.0,4.59,40,https://www.allrecipes.com/recipe/229566/salisbury-steak-with-mushrooms/
Pork Chops With Apple Cider Glaze,237.0,21.7,11.8,10.6,0.37,0.22999999999999998,0.4,6.0,4.56,45,https://www.allrecipes.com/recipe/229624/pork-chops-with-apple-cider-glaze/
Oven Roasted Turkey Breast,385.0,60.3,4.3,11.8,0.63,0.08999999999999997,0.28,6.0,4.69,110,https://www.allrecipes.com/recipe/229658/oven-roasted-turkey-breast/
Shrimp Scampi With Pasta,511.0,21.9,57.5,19.4,0.17,0.49,0.34,6.0,4.58,40,https://www.allrecipes.com/recipe/229960/shrimp-scampi-with-pasta/
Turkey Sloppy Joes,393.0,32.8,36.4,13.3,0.33,0.37,0.3,8.0,4.65,30,https://www.allrecipes.com/recipe/230021/turkey-sloppy-joes/
Duck Adobo,111.0,11.3,6.5,4.6,0.41,0.21999999999999997,0.37,6.0,4.52,155,https://www.allrecipes.com/recipe/230047/duck-adobo/
Bbq Broiled Red Snapper,312.0,40.8,4.0,13.8,0.52,0.07999999999999996,0.4,2.0,4.47,17,https://www.allrecipes.com/recipe/230161/bbq-broiled-red-snapper/
So Simple Beef Stroganoff,329.0,24.6,10.2,21.0,0.3,0.13000000000000012,0.57,4.0,4.63,190,https://www.allrecipes.com/recipe/230301/so-simple-beef-stroganoff/
Seasoned Swai Fish Fillet,198.0,16.6,1.7,12.5,0.34,0.09000000000000008,0.57,4.0,4.61,25,https://www.allrecipes.com/recipe/230382/seasoned-swai-fish-fillet/
Chef Johns Mini Christmas Hams,790.0,82.7,61.9,21.8,0.42,0.33000000000000007,0.25,4.0,4.6,2,https://www.allrecipes.com/recipe/230566/chef-johns-mini-christmas-hams/
Slow Cooker Apple Cider Braised Pork,388.0,23.6,13.5,25.9,0.24,0.16000000000000003,0.6,8.0,4.43,420,https://www.allrecipes.com/recipe/230568/slow-cooker-apple-cider-braised-pork/
